name,image_url,role,trend,elo,patch,region,score,games,pickrate,rolerate,winrate,banrate,tier,kda
Draven,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Draven.png,ADC,-27.36,iron,13.7,ph,13.2,308,0.0282,0.9277,0.4481,0.036000000000000004,D,1.83
Dr. Mundo,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/DrMundo.png,JUNGLE,-28.53,iron,13.7,ph,51.92,85,0.0059,0.1864,0.4824,0.0467,A,2.34
Diana,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Diana.png,MID,+6.89,iron,13.7,ph,48.25,224,0.0182,0.289,0.4911,0.0172,B,1.9
Diana,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Diana.png,JUNGLE,+18.78,iron,13.7,ph,66.81,489,0.0371,0.631,0.5153,0.0172,S,2.14
Darius,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Darius.png,TOP,-1.76,iron,13.7,ph,50.34,1152,0.08779999999999999,0.8734000000000001,0.46090000000000003,0.2377,B,1.75
Dr. Mundo,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/DrMundo.png,TOP,-1.99,iron,13.7,ph,66.07,312,0.0252,0.6842,0.5192,0.0467,S,1.95
Corki,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Corki.png,MID,+53.82,iron,13.7,ph,67.87,44,0.0046,0.55,0.5682,0.0022,S,1.88
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Chogath.png,TOP,+11.51,iron,13.7,ph,80.03,357,0.0322,0.536,0.5462,0.0421,S+,2.23
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Chogath.png,JUNGLE,+5.85,iron,13.7,ph,70.86,158,0.0123,0.2372,0.5253,0.0421,S,2.39
Brand,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Brand.png,MID,-1.51,iron,13.7,ph,43.01,140,0.010700000000000001,0.2288,0.4714,0.0301,B,1.94
Braum,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Braum.png,SUPPORT,+3.30,iron,13.7,ph,63.89,177,0.0196,0.9672,0.5197999999999999,0.006500000000000001,A,2.53
Cassiopeia,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Cassiopeia.png,MID,+33.17,iron,13.7,ph,56.39,185,0.0163,0.7490000000000001,0.5189,0.014499999999999999,A,2.02
Camille,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Camille.png,TOP,+15.02,iron,13.7,ph,64.99,133,0.0139,0.8526,0.5263,0.0078000000000000005,S,1.7
Cho'Gath,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Chogath.png,SUPPORT,,iron,13.7,ph,18.0,79,0.0064,0.1186,0.4304,0.0421,D,1.97
Brand,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Brand.png,SUPPORT,+22.57,iron,13.7,ph,58.72,405,0.0337,0.6618,0.516,0.0301,A,1.84
Blitzcrank,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Blitzcrank.png,SUPPORT,+2.28,iron,13.7,ph,55.32,1120,0.0796,0.9372,0.4902,0.20989999999999998,A,2.04
Bard,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Bard.png,SUPPORT,-10.26,iron,13.7,ph,49.27,118,0.009899999999999999,0.8489,0.4915,0.0039000000000000003,B,2.42
Aurelion Sol,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/AurelionSol.png,MID,-27.28,iron,13.7,ph,52.82,534,0.0495,0.7717,0.49060000000000004,0.2469,A,2.24
Caitlyn,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Caitlyn.png,ADC,-14.83,iron,13.7,ph,71.24,2230,0.18420000000000003,0.9181,0.48700000000000004,0.1213,S,2.07
Bel'Veth,https://ddragon.leagueoflegends.com/cdn/13.7.1/img/champion/Belveth.png,JUNGLE,+13.23,iron,13.7,ph,65.87,433,0.0355,0.8909,0.5196000000000001,0.0716,S,1.85
